Unnamed: 0,ref,city,departement,region,titre,type,living_area_m2,lot_size_m2,nb_room,nb_bedroom,pool,cellar,garage,output
6471,/fr/properties/13185a-1306.htm,Domme,Dordogne,Aquitaine,Terrain de 2500 m² aux portes de la Bastide de Domme.,terrain,,2535.0,,,False,False,False,55000
6472,/fr/properties/34430a-102114.htm,Lalinde,Dordogne,Aquitaine,Immeuble,autre,220.0,,5.0,4.0,False,False,False,86400
6473,/fr/properties/35382a-431.htm,Beaumont-du-Périgord,Dordogne,Aquitaine,"Au coeur d' un village de caractère et tout proche de Beaumont du périgord, cette maison de 1974 con...",maison,144.0,1358.0,9.0,5.0,False,False,False,235400
6474,/fr/properties/51615a-3104.htm,Saint-Pée-sur-Nivelle,Pyrénées-Atlantiques,Aquitaine,Belle Propriété Vue Montagnes,autre,440.0,28000.0,9.0,5.0,True,False,False,1750000
6475,/fr/properties/3739a-73242.htm,Sigoulès,Dordogne,Aquitaine,"Maison de caractère en pierre, 3 chambres, garage et terr...",maison,110.0,2593.0,,3.0,False,False,False,165000
6476,/fr/properties/29640a-3301214540.htm,Castelnau-de-Médoc,Gironde,Aquitaine,Maison,maison,82.0,120.0,4.0,3.0,False,False,False,184500
6477,/fr/properties/34486a-4332.htm,Bergerac,Dordogne,Aquitaine,Maison en pierres,maison,108.0,138.0,4.0,2.0,False,False,False,139000
6478,/fr/properties/2756a-25076023.htm,Saint-André-de-Cubzac,Gironde,Aquitaine,Maison,maison,200.0,46000.0,5.0,3.0,False,False,False,398000
6479,/fr/properties/60788a-5938177.htm,La Teste-de-Buch,Gironde,Aquitaine,"Ultra calme, quartier résidentiel ! villa de plain-pied de type 5, belle parcelle arborée et clôturé...",villa,115.0,696.0,5.0,,False,False,True,488000
6480,/fr/properties/31214a-25048089.htm,Mussidan,Dordogne,Aquitaine,Maison,maison,130.0,678.0,7.0,4.0,False,False,True,191000
6481,/fr/properties/35786a-e1c659.htm,Bergerac,Dordogne,Aquitaine,"10 minutes de Bergerac Proche commoditï¿½s, maison d'architecte de 144 mï¿½ composï¿½e d'une entrï¿½...",maison,144.0,,4.0,2.0,False,False,False,264500
6482,/fr/properties/19483a-4630.htm,Beaugas,Lot-et-Garonne,Aquitaine,Maison pierre avec ancien atelier 500 M2 surface au sol,maison,120.0,500.0,4.0,,False,False,False,48387
6483,/fr/properties/13363a-300106469.htm,Fumel,Lot-et-Garonne,Aquitaine,Maison,maison,178.0,3249.0,10.0,6.0,False,True,True,135000
6484,/fr/properties/3739a-73234.htm,Issigeac,Dordogne,Aquitaine,Propriété de campagne avec dépendance et son pigeonnier s...,autre,142.0,8667.0,,3.0,False,False,False,259200
6485,/fr/properties/13185a-1304.htm,Daglan,Dordogne,Aquitaine,"Maison de village en pierre 175 m² hab avec jardinet, cuisine, séjour, 5 chambres, 2 salles de bains",maison,175.0,250.0,7.0,5.0,False,False,False,230000
6486,/fr/properties/58577a-84.htm,Coursac,Dordogne,Aquitaine,Terrain constructible à Coursac de 2625 m²,terrain,2625.0,2625.0,,,False,False,False,27000
6487,/fr/properties/13363a-300105869.htm,Villefranche-du-Périgord,Dordogne,Aquitaine,Maison de village,maison,84.0,325.0,3.0,2.0,False,True,True,118500
6488,/fr/properties/13363a-300106443.htm,Belvès,Dordogne,Aquitaine,Maison,maison,135.0,697.0,7.0,3.0,True,True,True,115500
